corpus,date,entity_id,sector,mentions,day_total,sov,sov_sector,open,close,ret_same,ret_d1,ret_fwd5,ret_fwd10,vol_fwd5,vol_pre10,base,abn,sov_base,abn_sov,spike,silent,ret_same_sx,ret_fwd5_sx,ret_fwd10_sx,absret_same,absret_fwd5,absret_same_sx,ent,dt
digest,2026-07-07,amber,ems,0,52,0.0,0.0,7640.5,7625.0,-0.0020286630456122223,-0.026360655737704963,0.02118032786885249,-0.00039344262295082366,0.3292839282654099,0.26026463689894275,1.0,-1.0,0.01492537313432834,-0.01492537313432834,0.0,1.0,0.014093189084129265,-0.008245528543068814,-0.031143597595060912,0.0020286630456122223,0.02118032786885249,0.014093189084129265,amber,2026-07-07
digest,2026-07-08,amber,ems,1,82,0.0121951219512195,0.2,7545.0,7424.0,-0.016037110669317456,0.02377424568965525,0.057448814655172376,0.007408405172413701,0.18650997918603976,0.2808896365386674,0.8333333333333334,0.16666666666666663,0.012437810945273617,-0.00024268899405411638,0.0,0.0,-0.005425146389306709,0.01144413174668446,-0.02313368843147116,0.016037110669317456,0.057448814655172376,0.005425146389306709,amber,2026-07-08
digest,2026-07-09,amber,ems,2,23,0.0869565217391304,0.2857142857142857,7507.0,7600.5,0.012455041960836466,0.02348529701993285,0.05473324123412926,-0.022432734688507372,0.1760636581599622,0.2951463481984719,0.8571428571428571,1.1428571428571428,0.012403141088980172,0.07455338065015023,0.0,0.0,-0.019771785578648858,0.019983181487612633,-0.005978669405262833,0.012455041960836466,0.05473324123412926,0.019771785578648858,amber,2026-07-09
digest,2026-07-10,amber,ems,0,22,0.0,0.0,7636.0,7779.0,0.018727082242011583,-0.0010284098213138027,0.00327805630543776,-0.06652526031623607,0.27678768588423824,0.3190813219991717,1.0,-1.0,0.02172231367024895,-0.02172231367024895,0.0,1.0,0.025068542163044216,-0.006077609828341804,-0.028381647620454663,0.018727082242011583,0.00327805630543776,0.025068542163044216,amber,2026-07-10
digest,2026-07-12,amber,ems,0,2,0.0,0.0,7779.5,7771.0,-0.001092615206632841,0.0019945952901814223,0.011324153905546197,-0.06311928966670954,0.279327446256679,0.2592743948158129,0.8888888888888888,-0.8888888888888888,0.01930872326244351,-0.01930872326244351,0.0,1.0,-0.006730463468115104,-0.0006069644969560559,-0.032358246844535546,0.001092615206632841,0.011324153905546197,0.006730463468115104,amber,2026-07-12
digest,2026-07-13,amber,ems,0,33,0.0,0.0,7779.5,7771.0,-0.001092615206632841,0.0019945952901814223,0.011324153905546197,-0.06311928966670954,0.279327446256679,0.2592743948158129,0.8,-0.8,0.01737785093619916,-0.01737785093619916,0.0,1.0,-0.006730463468115104,-0.0006069644969560559,-0.032358246844535546,0.001092615206632841,0.011324153905546197,0.006730463468115104,amber,2026-07-13
digest,2026-07-14,amber,ems,0,35,0.0,0.0,7748.0,7786.5,0.004969024264326327,0.00821935401014584,-0.021126308354202816,-0.07416682720092471,0.36287830616707417,0.25213174447260306,0.8,-0.8,0.01737785093619916,-0.01737785093619916,0.0,1.0,-0.00011186032420586623,-0.02263605137139683,-0.03721825654917874,0.004969024264326327,0.021126308354202816,0.00011186032420586623,amber,2026-07-14
digest,2026-07-15,amber,ems,0,17,0.0,0.0,7831.5,7850.5,0.002426099725467701,0.021145149990446477,-0.0473218266352462,-0.055920005095216885,0.3558882943302953,0.2403440811324551,0.3,-0.3,0.00991516436903499,-0.00991516436903499,0.0,1.0,0.010145718111895796,-0.03271657052603568,-0.0652903983787978,0.002426099725467701,0.0473218266352462,0.010145718111895796,amber,2026-07-15
digest,2026-07-16,amber,ems,1,38,0.0263157894736842,0.1428571428571428,7910.5,8016.5,0.013399911510018292,-0.02644545624649164,-0.07316160419135531,-0.07677914301752631,0.24198851685030176,0.24248022107974512,0.3,0.7,0.00991516436903499,0.016400625104649208,0.0,0.0,-0.011563990845970856,-0.024002244716179066,-0.06260230752538681,0.013399911510018292,0.07316160419135531,0.011563990845970856,amber,2026-07-16
digest,2026-07-17,amber,ems,2,45,0.0444444444444444,0.25,8025.0,7804.5,-0.027476635514018688,0.006983150746364242,-0.06957524505093216,-0.04663975911333207,0.23202273084960234,0.2967404180530393,0.4,1.6,0.012546743316403411,0.03189770112804099,0.0,0.0,-0.005083027220712227,-0.02285661226373812,-0.06412010214031126,0.027476635514018688,0.06957524505093216,0.005083027220712227,amber,2026-07-17
